UFC 54: Boiling Point,Ultimate Fighting Championship,"August 20, 2005",MGM Grand Arena,"Las Vegas, Nevada","13,520 (Paid: 11,634)[1]","$2,336,000","150,000"
Ultimate Fight Night 2,Ultimate Fighting Championship,"October 3, 2005",Hard Rock Hotel and Casino,"Las Vegas, Nevada",nan,nan,nan
UFC 55: Fury,Ultimate Fighting Championship,"October 7, 2005",Mohegan Sun Arena,"Uncasville, Connecticut","8,000",nan,"125,000"
The Ultimate Fighter: Team Hughes vs. Team Franklin Finale,Ultimate Fighting Championship,"November 5, 2005",Hard Rock Hotel and Casino,"Las Vegas, Nevada",nan,nan,nan
UFC 56: Full Force,Ultimate Fighting Championship,"November 19, 2005",MGM Grand Arena,"Las Vegas, Nevada","12,000 (Paid: 9,995)[1]","$1,986,000","200,000"
Ultimate Fight Night 3,Ultimate Fighting Championship,"January 16, 2006",Hard Rock Hotel and Casino,"Las Vegas, Nevada","1,008","$144,600[1]",nan
UFC 57: Liddell vs. Couture 3,Ultimate Fighting Championship,"February 4, 2006",Mandalay Bay Events Center,"Las Vegas, Nevada","11,000 (Paid: 10,301)[1]","$3,382,400","400,000[2]"
UFC 58: USA vs. Canada,Ultimate Fighting Championship,"March 4, 2006",Mandalay Bay Events Center,"Las Vegas, Nevada","9,569 (8,183 paid)[1]","$1,758,450","300,000[2]"
Ultimate Fight Night 4,Ultimate Fighting Championship,"April 6, 2006",Hard Rock Hotel and Casino,"Las Vegas, Nevada",843,"$199,150[1]",nan
UFC 59: Reality Check,Ultimate Fighting Championship,"April 15, 2006",Arrowhead Pond,"Anaheim, California","13,814 (13,060 paid)[1]","$2,191,450","425,000[2]"
UFC 60: Hughes vs. Gracie,Ultimate Fighting Championship,"May 27, 2006",Staples Center,"Los Angeles, California","14,802 (10,347 paid)","$2,900,090","620,000[1]"
The Ultimate Fighter: Team Ortiz vs. Team Shamrock Finale,Ultimate Fighting Championship,"June 24, 2006",Hard Rock Hotel and Casino,"Las Vegas, Nevada",nan,nan,nan
Ultimate Fight Night 5,Ultimate Fighting Championship,"June 28, 2006",Hard Rock Hotel and Casino,"Las Vegas, Nevada",954[1],"$134,368[2]",nan
UFC 61: Bitter Rivals,Ultimate Fighting Championship,"July 8, 2006",Mandalay Bay Events Center,"Las Vegas, Nevada","11,167 (9,999 paid)","$3,350,775.15","775,000 [1]"
UFC Fight Night: Sanchez vs. Parisyan,Ultimate Fighting Championship,"August 17, 2006",Red Rock Resort Spa and Casino,"Las Vegas, Nevada",nan,nan,nan
UFC 62: Liddell vs. Sobral,Ultimate Fighting Championship,"August 26, 2006",Mandalay Bay Events Center,"Las Vegas, Nevada","9,859 (8,954 paid)[1]","$3,040,880[1]","500,000[2]"
UFC 63: Hughes vs. Penn,Ultimate Fighting Championship,"September 23, 2006",Arrowhead Pond,"Anaheim, California","12,604 (9,343 paid)[1]","$1,582,370[1]","400,000[2]"
UFC: Ortiz vs. Shamrock 3: The Final Chapter,Ultimate Fighting Championship,"October 10, 2006",Seminole Hard Rock Hotel and Casino,"Hollywood, Florida","3,510",nan,nan
UFC 64: Unstoppable,Ultimate Fighting Championship,"October 14, 2006",Mandalay Bay Events Center,"Las Vegas, Nevada","10,173 (8,913 paid)[1]","$1,790,490[1]","300,000[2]"
The Ultimate Fighter: The Comeback Finale,Ultimate Fighting Championship,"November 11, 2006",Hard Rock Hotel and Casino,"Las Vegas, Nevada",nan,nan,nan
UFC 65: Bad Intentions,Ultimate Fighting Championship,"November 18, 2006",ARCO Arena,"Sacramento, California","14,666 (12,362 paid)[1]","$2,138,020[2]","500,000[3]"
UFC Fight Night: Sanchez vs. Riggs,Ultimate Fighting Championship,"December 13, 2006",MCAS Miramar,"San Diego, California",nan,nan,nan
UFC 66: Liddell vs. Ortiz,Ultimate Fighting Championship,"December 30, 2006",MGM Grand Garden Arena,"Las Vegas, Nevada","13,761 (12,191 paid)[1]","$5,397,300[1]","1,050,000[2]"
UFC Fight Night: Evans vs. Salmon,Ultimate Fighting Championship,"January 25, 2007",Seminole Hard Rock Hotel and Casino,"Hollywood, Florida",nan,nan,nan
UFC 67: All or Nothing,Ultimate Fighting Championship,"February 3, 2007",Mandalay Bay Events Center,"Las Vegas, Nevada","10,227 (8,700 paid)[1]","$2,767,130[2]","350,000[3]"
UFC 68: The Uprising,Ultimate Fighting Championship,"March 3, 2007",Nationwide Arena,"Columbus, Ohio","19,049 (17,358 paid)","$3,014,000[1]","534,000[2]"
UFC Fight Night: Stevenson vs. Guillard,Ultimate Fighting Championship,"April 5, 2007",Palms Casino Resort,"Las Vegas, Nevada","1,734",nan,nan
UFC 69: Shootout,Ultimate Fighting Championship,"April 7, 2007",Toyota Center,"Houston, Texas","15,269 (12,516 paid)[1]","$2,817,200[2]","400,000[citation needed]"
UFC 70: Nations Collide,Ultimate Fighting Championship,"April 21, 2007",Manchester Evening News Arena,"Manchester, United Kingdom","15,114 (12,708 paid)[1]","$2,628,472 (£1.3 million GBP)[2]",nan
UFC 71: Liddell vs. Jackson,Ultimate Fighting Championship,"May 26, 2007",MGM Grand Garden Arena,"Las Vegas, Nevada","14,728 (13,224 paid)[1]","$4,304,000[1]","675,000[2]"
UFC Fight Night: Stout vs. Fisher,Ultimate Fighting Championship,"June 12, 2007",Seminole Hard Rock Hotel and Casino,"Hollywood, Florida",nan,nan,nan
UFC 72: Victory,Ultimate Fighting Championship,16 June 2007,The Odyssey,"Belfast, Northern Ireland, United Kingdom.","8,000","£700,000 (approx. $1.2 million)[1]","200,000[2]"
The Ultimate Fighter: Team Pulver vs. Team Penn Finale,Ultimate Fighting Championship,"June 23, 2007",Palms Casino Resort,"Las Vegas, Nevada",nan,"$526,000[12]",nan
UFC 73: Stacked,Ultimate Fighting Championship,"July 7, 2007",ARCO Arena,"Sacramento, California","13,183[1]","$1,551,920[1]","425,000"
UFC 74: Respect,Ultimate Fighting Championship,"August 25, 2007",Mandalay Bay Events Center,"Las Vegas, Nevada","11,118 (9,622 paid)[1]","$3,307,000[1]","520,000[2]"
UFC 75: Champion vs. Champion,Ultimate Fighting Championship,"September 8, 2007",The O2 Arena,"London, United Kingdom","16,235[1]",$2.7 million[1],nan
UFC Fight Night: Thomas vs. Florian,Ultimate Fighting Championship,"September 19, 2007",Palms Casino Resort,"Las Vegas, Nevada",nan,"$270,000[1]",nan
UFC 76: Knockout,Ultimate Fighting Championship,"September 22, 2007",Honda Center,"Anaheim, California","13,770 (11,817 paid)","$1,985,000","475,000[1]"
UFC 77: Hostile Territory,Ultimate Fighting Championship,"October 20, 2007",U.S. Bank Arena,"Cincinnati, Ohio","16,054","$2,540,000","325,000[1]"
UFC 78: Validation,Ultimate Fighting Championship,"November 17, 2007",Prudential Center,"Newark, New Jersey","14,071","$2,100,000","400,000"
The Ultimate Fighter: Team Hughes vs. Team Serra Finale,Ultimate Fighting Championship,"December 8, 2007",Palms Casino Resort,"Las Vegas, Nevada",nan,nan,nan
UFC 79: Nemesis,Ultimate Fighting Championship,"December 29, 2007",Mandalay Bay Events Center,"Las Vegas, Nevada","11,075 (10,968 paid)","$4,994,000","650,000[1]"
UFC 80: Rapid Fire,Ultimate Fighting Championship,"January 19, 2008",Metro Radio Arena,"Newcastle, United Kingdom","8,412","$1,250,000","225,000"
UFC Fight Night: Swick vs. Burkman,Ultimate Fighting Championship,"January 23, 2008",Palms Casino Resort,"Las Vegas, Nevada",nan,nan,nan
UFC 81: Breaking Point,Ultimate Fighting Championship,"February 2, 2008",Mandalay Bay Events Center,"Las Vegas, Nevada","10,583 (7,167 paid)","$2,437,890","600,000"
UFC 82: Pride of a Champion,Ultimate Fighting Championship,"March 1, 2008",Nationwide Arena,"Columbus, Ohio","16,431[1]","$2,200,000[1]","325,000"
UFC Fight Night: Florian vs. Lauzon,Ultimate Fighting Championship,"April 2, 2008",Broomfield Event Center,"Broomfield, Colorado","6,742[1]","$753,429[2]",nan
UFC 83: Serra vs. St-Pierre 2,Ultimate Fighting Championship,"April 19, 2008",Bell Centre,"Montreal, Quebec, Canada","21,390","$5,100,000","530,000"
UFC 84: Ill Will,Ultimate Fighting Championship,"May 24, 2008",MGM Grand Garden Arena,"Las Vegas, Nevada","14,773 (13,448 paid)[1]","$3,732,000[1]","475,000"
UFC 85: Bedlam,Ultimate Fighting Championship,"June 7, 2008",The O2 Arena,"London, United Kingdom","15,327[1]","2,920,000","215,000[2]"
The Ultimate Fighter: Team Rampage vs. Team Forrest Finale,Ultimate Fighting Championship,"June 21, 2008",Palms Casino Resort,"Las Vegas, Nevada","2,500","$495,350",nan
UFC 86: Jackson vs. Griffin,Ultimate Fighting Championship,"July 5, 2008",Mandalay Bay Events Center,"Las Vegas, Nevada","10,990 (9,630 paid)","$3,350,730","540,000"
UFC Fight Night: Silva vs. Irvin,Ultimate Fighting Championship,"July 19, 2008",Palms Casino Resort,"Las Vegas, Nevada","2,071[1]",nan,nan
