Date,Event,Title,Promotion,Fighter_1,Fighter_2,Rematch,Venue,City,Attendance,Gate,Buyrate
2007-06-16,UFC 72,Victory,Ultimate Fighting Championship,,,0,The Odyssey,"Belfast, Northern Ireland, United Kingdom.",8000.0,,200000.0
2007-07-07,UFC 73,Stacked,Ultimate Fighting Championship,,,0,ARCO Arena,"Sacramento, California",13183.0,1551920.0,425000.0
2007-08-25,UFC 74,Respect,Ultimate Fighting Championship,,,0,Mandalay Bay Events Center,"Las Vegas, Nevada",11118.0,3307000.0,520000.0
2007-09-08,UFC 75,Champion vs. Champion,Ultimate Fighting Championship,Champion,Champion,0,The O2 Arena,"London, United Kingdom",16235.0,,
2007-09-22,UFC 76,Knockout,Ultimate Fighting Championship,,,0,Honda Center,"Anaheim, California",13770.0,1985000.0,475000.0
2007-10-20,UFC 77,Hostile Territory,Ultimate Fighting Championship,,,0,U.S. Bank Arena,"Cincinnati, Ohio",16054.0,2540000.0,325000.0
2007-11-17,UFC 78,Validation,Ultimate Fighting Championship,,,0,Prudential Center,"Newark, New Jersey",14071.0,2100000.0,400000.0
2007-12-29,UFC 79,Nemesis,Ultimate Fighting Championship,,,0,Mandalay Bay Events Center,"Las Vegas, Nevada",11075.0,4994000.0,650000.0
2008-01-19,UFC 80,Rapid Fire,Ultimate Fighting Championship,,,0,Metro Radio Arena,"Newcastle, United Kingdom",8412.0,1250000.0,225000.0
2008-02-02,UFC 81,Breaking Point,Ultimate Fighting Championship,,,0,Mandalay Bay Events Center,"Las Vegas, Nevada",10583.0,2437890.0,600000.0
2008-03-01,UFC 82,Pride of a Champion,Ultimate Fighting Championship,,,0,Nationwide Arena,"Columbus, Ohio",16431.0,2200000.0,325000.0
2008-04-19,UFC 83,Serra vs. St-Pierre 2,Ultimate Fighting Championship,Serra,St-Pierre,1,Bell Centre,"Montreal, Quebec, Canada",21390.0,5100000.0,530000.0
2008-05-24,UFC 84,Ill Will,Ultimate Fighting Championship,,,0,MGM Grand Garden Arena,"Las Vegas, Nevada",14773.0,3732000.0,475000.0
2008-06-07,UFC 85,Bedlam,Ultimate Fighting Championship,,,0,The O2 Arena,"London, United Kingdom",15327.0,,215000.0
2008-07-05,UFC 86,Jackson vs. Griffin,Ultimate Fighting Championship,Jackson,Griffin,0,Mandalay Bay Events Center,"Las Vegas, Nevada",10990.0,3350730.0,540000.0
2008-08-09,UFC 87,Seek and Destroy,Ultimate Fighting Championship,,,0,Target Center,"Minneapolis, Minnesota",15087.0,2252000.0,625000.0
2008-09-06,UFC 88,Breakthrough,Ultimate Fighting Championship,,,0,Philips Arena,"Atlanta, Georgia",14736.0,2600000.0,480000.0
2008-10-18,UFC 89,Bisping vs. Leben,Ultimate Fighting Championship,Bisping,Leben,0,National Indoor Arena,"Birmingham, United Kingdom",9515.0,,
2008-10-25,UFC 90,Silva vs. Côté,Ultimate Fighting Championship,Silva,Côté,0,Allstate Arena,"Rosemont, Illinois",15359.0,2850000.0,300000.0
2008-11-15,UFC 91,Couture vs. Lesnar,Ultimate Fighting Championship,Couture,Lesnar,0,MGM Grand Garden Arena,"Las Vegas, Nevada",14272.0,4815675.0,1010000.0
2008-12-27,UFC 92,The Ultimate 2008,Ultimate Fighting Championship,,,1,MGM Grand Garden Arena,"Las Vegas, Nevada",14103.0,3468440.0,1000000.0
2009-01-17,UFC 93,Franklin vs. Henderson,Ultimate Fighting Championship,Franklin,Henderson,0,The O2,"Dublin, Ireland",9369.0,1300000.0,350000.0
2009-01-31,UFC 94,St-Pierre vs. Penn 2,Ultimate Fighting Championship,St-Pierre,Penn,1,MGM Grand Garden Arena[1],"Las Vegas, Nevada",14885.0,4290020.0,920000.0
2009-02-21,UFC 95,Sanchez vs. Stevenson,Ultimate Fighting Championship,Sanchez,Stevenson,0,The O2 Arena,"London, United Kingdom",13268.0,1000000.0,
2009-03-07,UFC 96,Jackson vs. Jardine,Ultimate Fighting Championship,Jackson,Jardine,0,Nationwide Arena,"Columbus, Ohio",17033.0,1800000.0,350000.0
2009-04-18,UFC 97,Redemption,Ultimate Fighting Championship,,,0,Bell Centre,"Montreal, Quebec, Canada",21451.0,4900000.0,650000.0
2009-05-23,UFC 98,Evans vs. Machida,Ultimate Fighting Championship,Evans,Machida,0,MGM Grand Garden Arena,"Las Vegas, Nevada",12606.0,3257350.0,635000.0
2009-06-13,UFC 99,The Comeback,Ultimate Fighting Championship,,,0,Lanxess Arena,"Cologne, Germany",12854.0,1300000.0,360000.0
2009-07-11,UFC 100,,Ultimate Fighting Championship,,,0,Mandalay Bay Events Center,"Las Vegas, Nevada",10871.0,5101740.0,1600000.0
2009-08-08,UFC 101,Declaration,Ultimate Fighting Championship,,,0,Wachovia Center,"Philadelphia, Pennsylvania",17411.0,3550000.0,850000.0
