Date,Event,Main_Event,Title,Promotion,Fighter_1,Fighter_2,Rematch,Venue,City,Attendance,Gate,Buyrate
2016-02-27,UFC Fight Night,0,Silva vs. Bisping,Ultimate Fighting Championship,Silva,Bisping,0,The O2 Arena,"London, England",16734.0,2000000.0,
2016-03-05,UFC 196,1,McGregor vs. Diaz,Ultimate Fighting Championship,McGregor,Diaz,0,MGM Grand Garden Arena,"Las Vegas, Nevada",14898.0,8197628.0,1317000.0
2016-03-20,UFC Fight Night,0,Hunt vs. Mir,Ultimate Fighting Championship,Hunt,Mir,0,Brisbane Entertainment Centre,"Brisbane, Australia",9552.0,1000000.0,
2016-04-10,UFC Fight Night,0,Rothwell vs. dos Santos,Ultimate Fighting Championship,Rothwell,dos Santos,0,Arena Zagreb,"Zagreb, Croatia",13177.0,549000.0,
2016-04-16,UFC on Fox,0,Teixeira vs. Evans,Ultimate Fighting Championship,Teixeira,Evans,0,Amalie Arena,"Tampa, Florida",11273.0,1057000.0,
2016-04-23,UFC 197,1,Jones vs. Saint Preux,Ultimate Fighting Championship,Jones,Saint Preux,0,MGM Grand Garden Arena,"Las Vegas, Nevada",11352.0,2300000.0,322000.0
2016-05-08,UFC Fight Night,0,Overeem vs. Arlovski,Ultimate Fighting Championship,Overeem,Arlovski,0,Ahoy Rotterdam,"Rotterdam, Netherlands",10421.0,1523320.0,
2016-05-14,UFC 198,1,Werdum vs. Miocic,Ultimate Fighting Championship,Werdum,Miocic,0,Arena da Baixada,"Curitiba, Brazil",45207.0,,217000.0
2016-05-29,UFC Fight Night,0,Almeida vs. Garbrandt,Ultimate Fighting Championship,Almeida,Garbrandt,0,Mandalay Bay Events Center,"Las Vegas, Nevada",5193.0,359000.0,
2016-06-04,UFC 199,1,Rockhold vs. Bisping 2,Ultimate Fighting Championship,Rockhold,Bisping,1,The Forum,"Inglewood, California",15587.0,2168675.0,283000.0
2016-06-18,UFC Fight Night,0,MacDonald vs. Thompson,Ultimate Fighting Championship,MacDonald,Thompson,0,TD Place Arena,"Ottawa, Ontario, Canada",10490.0,1278250.0,
2016-07-07,UFC Fight Night,0,Dos Anjos vs. Alvarez,Ultimate Fighting Championship,Dos Anjos,Alvarez,0,MGM Grand Garden Arena,"Las Vegas, Nevada",7760.0,690526.0,
2016-07-08,The Ultimate Fighter,0,Team Joanna vs. Team Cláudia Finale,Ultimate Fighting Championship,Team Joanna,Team Cláudia,0,MGM Grand Garden Arena,"Las Vegas, Nevada",8115.0,736408.0,
2016-07-09,UFC 200,1,Tate vs. Nunes,Ultimate Fighting Championship,Tate,Nunes,0,T-Mobile Arena,"Las Vegas, Nevada",18202.0,10746248.0,1009000.0
2016-07-13,UFC Fight Night,0,McDonald vs. Lineker,Ultimate Fighting Championship,McDonald,Lineker,0,Denny Sanford Premier Center,"Sioux Falls, South Dakota",5671.0,381945.0,
2016-07-23,UFC on Fox,0,Holm vs. Shevchenko,Ultimate Fighting Championship,Holm,Shevchenko,0,United Center,"Chicago, Illinois",10287.0,1000000.0,
2016-07-30,UFC 201,1,Lawler vs. Woodley,Ultimate Fighting Championship,Lawler,Woodley,0,Philips Arena,"Atlanta, Georgia",10240.0,1070000.0,240000.0
2016-08-06,UFC Fight Night,0,Rodríguez vs Caceres,Ultimate Fighting Championship,Rodríguez,Caceres,0,Vivint Smart Home Arena,"Salt Lake City, Utah",6689.0,481033.0,
2016-08-20,UFC 202,1,Diaz vs. McGregor 2,Ultimate Fighting Championship,Diaz,McGregor,1,T-Mobile Arena,"Las Vegas, Nevada",15539.0,7700810.0,1650000.0
2016-08-27,UFC on Fox,0,Maia vs Condit,Ultimate Fighting Championship,Maia,Condit,0,Rogers Arena,"Vancouver, British Columbia, Canada",10533.0,,
2016-09-03,UFC Fight Night,0,Arlovski vs. Barnett,Ultimate Fighting Championship,Arlovski,Barnett,0,Barclaycard Arena,"Hamburg, Germany",11763.0,913428.0,
2016-09-10,UFC 203,1,Miocic vs. Overeem,Ultimate Fighting Championship,Miocic,Overeem,0,Quicken Loans Arena,"Cleveland, Ohio",18875.0,2600000.0,450000.0
2016-09-17,UFC Fight Night,0,Poirier vs. Johnson,Ultimate Fighting Championship,Poirier,Johnson,0,State Farm Arena,"Hidalgo, Texas",5624.0,323419.0,
2016-09-24,UFC Fight Night,0,Cyborg vs. Länsberg,Ultimate Fighting Championship,Cyborg,Länsberg,0,Ginásio Nilson Nelson,"Brasília, Brazil",8410.0,,
2016-10-01,UFC Fight Night,0,Lineker vs. Dodson,Ultimate Fighting Championship,Lineker,Dodson,0,Moda Center,"Portland, Oregon",6240.0,501035.0,
2016-10-08,UFC 204,1,Bisping vs Henderson 2,Ultimate Fighting Championship,Bisping,Henderson,1,Manchester Arena,"Manchester, England",16000.0,1960000.0,290000.0
2016-11-05,The Ultimate Fighter Latin America 3 Finale,0,dos Anjos vs. Ferguson,Ultimate Fighting Championship,dos Anjos,Ferguson,0,Arena Ciudad de México,"Mexico City, Mexico",11460.0,,
2016-11-12,UFC 205,1,Alvarez vs. McGregor,Ultimate Fighting Championship,Alvarez,McGregor,0,Madison Square Garden,"New York City, New York",20427.0,17700000.0,1300000.0
2016-11-19,UFC Fight Night,0,Mousasi vs. Hall 2,Ultimate Fighting Championship,Mousasi,Hall,1,The SSE Arena,"Belfast, Northern Ireland",7222.0,850000.0,
2016-11-19,UFC Fight Night,0,Bader vs. Nogueira 2,Ultimate Fighting Championship,Bader,Nogueira,1,Ginásio do Ibirapuera,"São Paulo, Brazil",9028.0,,
2016-11-27,UFC Fight Night,0,Whittaker vs. Brunson,Ultimate Fighting Championship,Whittaker,Brunson,0,Rod Laver Arena,"Melbourne, Australia",13721.0,,
2016-12-03,The Ultimate Fighter,0,Tournament of Champions Finale,Ultimate Fighting Championship,,,0,Palms Casino Resort,"Las Vegas, Nevada",2044.0,188602.0,
2016-12-09,UFC Fight Night,0,Lewis vs. Abdurakhimov,Ultimate Fighting Championship,Lewis,Abdurakhimov,0,Times Union Center,"Albany, New York",6216.0,411000.0,
2016-12-10,UFC 206,1,Holloway vs. Pettis,Ultimate Fighting Championship,Holloway,Pettis,0,Air Canada Centre,"Toronto, Ontario, Canada",18057.0,1843101.0,150000.0
2016-12-17,UFC on Fox,0,VanZant vs. Waterson,Ultimate Fighting Championship,VanZant,Waterson,0,Golden 1 Center,"Sacramento, California",10525.0,1238992.0,
2016-12-30,UFC 207,1,Nunes vs. Rousey,Ultimate Fighting Championship,Nunes,Rousey,0,T-Mobile Arena,"Las Vegas, Nevada",18533.0,4750000.0,1100000.0
2017-01-15,UFC Fight Night,0,Rodríguez vs. Penn,Ultimate Fighting Championship,Rodríguez,Penn,0,Talking Stick Resort Arena,"Phoenix, Arizona",11589.0,913372.0,
2017-01-28,UFC on Fox,0,Shevchenko vs. Peña,Ultimate Fighting Championship,Shevchenko,Peña,0,Pepsi Center,"Denver, Colorado",13233.0,1020434.0,
2017-02-04,UFC Fight Night,0,Bermudez vs. Korean Zombie,Ultimate Fighting Championship,Bermudez,Korean Zombie,0,Toyota Center,"Houston, Texas",8119.0,611133.0,
2017-02-11,UFC 208,1,Holm vs. de Randamie,Ultimate Fighting Championship,Holm,de Randamie,0,Barclays Center,"Brooklyn, New York",15628.0,2275105.0,200000.0
2017-02-19,UFC Fight Night,0,Lewis vs. Browne,Ultimate Fighting Championship,Lewis,Browne,0,Scotiabank Centre,"Halifax, Nova Scotia, Canada",8123.0,575832.0,
2017-03-04,UFC 209,1,Woodley vs. Thompson 2,Ultimate Fighting Championship,Woodley,Thompson,1,T-Mobile Arena,"Las Vegas, Nevada",13150.0,,300000.0
2017-03-11,UFC Fight Night,0,Belfort vs. Gastelum,Ultimate Fighting Championship,Belfort,Gastelum,0,Centro de Formação Olímpica do Nordeste,"Fortaleza, Brazil",14069.0,,
2017-03-18,UFC Fight Night,0,Manuwa vs. Anderson,Ultimate Fighting Championship,Manuwa,Anderson,0,The O2 Arena,"London, England",15761.0,2015777.0,
2017-04-08,UFC 210,1,Cormier vs Johnson 2,Ultimate Fighting Championship,Cormier,Johnson,1,KeyBank Center,"Buffalo, New York",17110.0,2000000.0,300000.0
2017-04-15,UFC on Fox,0,Johnson vs. Reis,Ultimate Fighting Championship,Johnson,Reis,0,Sprint Center,"Kansas City, Missouri",12171.0,1081193.0,
2017-04-22,UFC Fight Night,0,Swanson vs. Lobov,Ultimate Fighting Championship,Swanson,Lobov,0,Bridgestone Arena,"Nashville, Tennessee",10144.0,755180.0,
2017-05-13,UFC 211,1,Miocic vs dos Santos 2,Ultimate Fighting Championship,Miocic,dos Santos,1,American Airlines Center,"Dallas, Texas",17834.0,2662645.0,300000.0
2017-05-28,UFC Fight Night,0,Gustafsson vs. Teixeira,Ultimate Fighting Championship,Gustafsson,Teixeira,0,Ericsson Globe,"Stockholm, Sweden",12668.0,1920000.0,
2017-06-03,UFC 212,1,Aldo vs. Holloway,Ultimate Fighting Championship,Aldo,Holloway,0,Jeunesse Arena,"Rio de Janeiro, Brazil",15412.0,,200000.0
2017-06-11,UFC Fight Night,0,Lewis vs. Hunt,Ultimate Fighting Championship,Lewis,Hunt,0,Spark Arena,"Auckland, New Zealand",7468.0,800298.0,
2017-06-17,UFC Fight Night,0,Holm vs. Correia,Ultimate Fighting Championship,Holm,Correia,0,Singapore Indoor Stadium,"Kallang, Singapore",8414.0,839300.0,
2017-06-25,UFC Fight Night,0,Chiesa vs. Lee,Ultimate Fighting Championship,Chiesa,Lee,0,Chesapeake Energy Arena,"Oklahoma City, Oklahoma",7605.0,549302.0,
2017-07-07,The Ultimate Fighter,0,Redemption Finale,Ultimate Fighting Championship,,,0,T-Mobile Arena,"Paradise, Nevada",6308.0,432495.0,
2017-07-08,UFC 213,1,Romero vs. Whittaker,Ultimate Fighting Championship,Romero,Whittaker,0,T-Mobile Arena,"Las Vegas, Nevada",12834.0,2400000.0,150000.0
2017-07-16,UFC Fight Night,0,Nelson vs. Ponzinibbio,Ultimate Fighting Championship,Nelson,Ponzinibbio,0,The SSE Hydro,"Glasgow, Scotland",10589.0,1200000.0,
2017-07-22,UFC on Fox,0,Weidman vs. Gastelum,Ultimate Fighting Championship,Weidman,Gastelum,0,Nassau Veterans Memorial Coliseum,"Uniondale, New York",11198.0,1088332.0,
2017-07-29,UFC 214,1,Cormier vs. Jones 2,Ultimate Fighting Championship,Cormier,Jones,1,Honda Center,"Anaheim, California",16610.0,2448870.0,860000.0
2017-08-05,UFC Fight Night,0,Pettis vs. Moreno,Ultimate Fighting Championship,Pettis,Moreno,0,Arena Ciudad de México,"Mexico City, Mexico",10172.0,,
2017-09-02,UFC Fight Night,0,Volkov vs. Struve,Ultimate Fighting Championship,Volkov,Struve,0,Ahoy Rotterdam,"Rotterdam, Netherlands",10224.0,900000.0,
2017-09-09,UFC 215,1,Nunes vs. Shevchenko 2,Ultimate Fighting Championship,Nunes,Shevchenko,1,Rogers Place,"Edmonton, Alberta, Canada",16232.0,2028307.0,100000.0
2017-09-16,UFC Fight Night,0,Rockhold vs. Branch,Ultimate Fighting Championship,Rockhold,Branch,0,PPG Paints Arena,"Pittsburgh, Pennsylvania",7005.0,396190.0,
2017-09-23,UFC Fight Night,0,Saint Preux vs. Okami,Ultimate Fighting Championship,Saint Preux,Okami,0,Saitama Super Arena,"Saitama, Japan",8571.0,,
2017-10-07,UFC 216,1,Ferguson vs. Lee,Ultimate Fighting Championship,Ferguson,Lee,0,T-Mobile Arena,"Las Vegas, Nevada",10638.0,677999.0,200000.0
2017-10-21,UFC Fight Night,0,Cowboy vs. Till,Ultimate Fighting Championship,Cowboy,Till,0,Ergo Arena,"Gdańsk, Poland",11138.0,677000.0,
2017-10-28,UFC Fight Night,0,Brunson vs. Machida,Ultimate Fighting Championship,Brunson,Machida,0,Ginásio do Ibirapuera,"São Paulo, Brazil",10265.0,,
2017-11-04,UFC 217,1,Bisping vs. St-Pierre,Ultimate Fighting Championship,Bisping,St-Pierre,0,Madison Square Garden,"New York City, New York",18201.0,6200000.0,875000.0
2017-11-11,UFC Fight Night,0,Poirier vs. Pettis,Ultimate Fighting Championship,Poirier,Pettis,0,Ted Constant Convocation Center,"Norfolk, Virginia",8442.0,642070.0,
2017-11-19,UFC Fight Night,0,Werdum vs. Tybura,Ultimate Fighting Championship,Werdum,Tybura,0,Qudos Bank Arena,Sydney,10021.0,,
2017-11-25,UFC Fight Night,0,Bisping vs. Gastelum,Ultimate Fighting Championship,Bisping,Gastelum,0,Mercedes Benz Arena,"Shanghai, China",15128.0,,
2017-12-01,The Ultimate Fighter,0,A New World Champion Finale,Ultimate Fighting Championship,,,0,Park Theater,"Paradise, Nevada",,,
2017-12-02,UFC 218,1,Holloway vs. Aldo 2,Ultimate Fighting Championship,Holloway,Aldo,1,Little Caesars Arena,"Detroit, Michigan",17587.0,2000000.0,230000.0
2017-12-09,UFC Fight Night,0,Swanson vs. Ortega,Ultimate Fighting Championship,Swanson,Ortega,0,Save Mart Center,"Fresno, California",7605.0,568290.0,
2017-12-16,UFC on Fox,0,Lawler vs. dos Anjos,Ultimate Fighting Championship,Lawler,dos Anjos,0,Bell MTS Place,"Winnipeg, Canada",8862.0,781359.0,
2017-12-30,UFC 219,1,Cyborg vs. Holm,Ultimate Fighting Championship,Cyborg,Holm,0,T-Mobile Arena,"Las Vegas, Nevada",13561.0,1760628.0,380000.0
2018-01-14,UFC Fight Night,0,Stephens vs. Choi,Ultimate Fighting Championship,Stephens,Choi,0,Scottrade Center,"St. Louis, Missouri, U.S.",10052.0,812995.0,
2018-01-20,UFC 220,1,Miocic vs. Ngannou,Ultimate Fighting Championship,Miocic,Ngannou,0,TD Garden,"Boston, Massachusetts",16015.0,2450000.0,380000.0
2018-01-27,UFC on Fox,0,Jacaré vs. Brunson 2,Ultimate Fighting Championship,Jacaré,Brunson,1,Spectrum Center,"Charlotte, North Carolina, U.S",10249.0,944202.0,
2018-02-03,UFC Fight Night,0,Machida vs. Anders,Ultimate Fighting Championship,Machida,Anders,0,Arena Guilherme Paraense,"Belém, Brazil",10144.0,,
2018-02-11,UFC 221,1,Romero vs. Rockhold,Ultimate Fighting Championship,Romero,Rockhold,0,Perth Arena,"Perth, Australia",12437.0,2810520.0,
2018-02-18,UFC Fight Night,0,Cowboy vs. Medeiros,Ultimate Fighting Championship,Cowboy,Medeiros,0,Frank Erwin Center,"Austin, Texas",10502.0,794350.0,
2018-02-24,UFC on Fox,0,Emmett vs. Stephens,Ultimate Fighting Championship,Emmett,Stephens,0,Amway Center,"Orlando, Florida",10124.0,1064303.0,
2018-03-03,UFC 222,1,Cyborg vs. Kunitskaya,Ultimate Fighting Championship,Cyborg,Kunitskaya,0,T-Mobile Arena,"Las Vegas, Nevada",12041.0,1367672.0,260000.0
2018-03-17,UFC Fight Night,0,Werdum vs. Volkov,Ultimate Fighting Championship,Werdum,Volkov,0,The O2 Arena,"London, England",16274.0,,
2018-04-07,UFC 223,1,Khabib vs. Iaquinta,Ultimate Fighting Championship,Khabib,Iaquinta,0,Barclays Center,"Brooklyn, New York",17026.0,3007108.0,350000.0
2018-04-14,UFC on Fox,0,Poirier vs. Gaethje,Ultimate Fighting Championship,Poirier,Gaethje,0,Gila River Arena,"Glendale, Arizona",11382.0,1085712.0,
2018-04-21,UFC Fight Night,0,Barboza vs. Lee,Ultimate Fighting Championship,Barboza,Lee,0,Boardwalk Hall,"Atlantic City, New Jersey",9541.0,923720.0,
2018-05-12,UFC 224,1,Nunes vs. Pennington,Ultimate Fighting Championship,Nunes,Pennington,0,Jeunesse Arena,"Rio de Janeiro, Brazil",10696.0,,85000.0
2018-05-19,UFC Fight Night,0,Maia vs. Usman,Ultimate Fighting Championship,Maia,Usman,0,Movistar Arena,"Santiago, Chile",11082.0,,
2018-05-27,UFC Fight Night,0,Thompson vs. Till,Ultimate Fighting Championship,Thompson,Till,0,Echo Arena,"Liverpool, England",8520.0,1300000.0,
2018-06-01,UFC Fight Night,0,Rivera vs. Moraes,Ultimate Fighting Championship,Rivera,Moraes,0,Adirondack Bank Center,"Utica, New York",5063.0,322825.0,
2018-06-09,UFC 225,1,Whittaker vs. Romero 2,Ultimate Fighting Championship,Whittaker,Romero,1,United Center,"Chicago, Illinois",18117.0,2550000.0,250000.0
2018-06-23,UFC Fight Night,0,Cowboy vs. Edwards,Ultimate Fighting Championship,Cowboy,Edwards,0,Singapore Indoor Stadium,"Kallang, Singapore",6419.0,,
2018-07-06,The Ultimate Fighter,0,Undefeated Finale,Ultimate Fighting Championship,,,0,Pearl Theatre,"Paradise, Nevada",2123.0,293615.0,
2018-07-07,UFC 226,1,Miocic vs. Cormier,Ultimate Fighting Championship,Miocic,Cormier,0,T-Mobile Arena,"Paradise, Nevada",17464.0,5677238.0,380000.0
2018-07-14,UFC Fight Night,0,dos Santos vs. Ivanov,Ultimate Fighting Championship,dos Santos,Ivanov,0,CenturyLink Arena,"Boise, Idaho",5648.0,591575.0,
2018-07-22,UFC Fight Night,0,Shogun vs. Smith,Ultimate Fighting Championship,Shogun,Smith,0,Barclaycard Arena,"Hamburg, Germany",7798.0,750000.0,
2018-07-28,UFC on Fox,0,Alvarez vs. Poirier 2,Ultimate Fighting Championship,Alvarez,Poirier,1,Scotiabank Saddledome,"Calgary, Alberta, Canada",10603.0,,
2018-08-04,UFC 227,1,Dillashaw vs. Garbrandt 2,Ultimate Fighting Championship,Dillashaw,Garbrandt,1,Staples Center,"Los Angeles, California",17794.0,2850000.0,300000.0
2018-08-25,UFC Fight Night,0,Gaethje vs. Vick,Ultimate Fighting Championship,Gaethje,Vick,0,Pinnacle Bank Arena,"Lincoln, Nebraska",6409.0,478337.0,
2018-09-08,UFC 228,1,Woodley vs. Till,Ultimate Fighting Championship,Woodley,Till,0,American Airlines Center,"Dallas, Texas",14073.0,1700000.0,
2018-09-15,UFC Fight Night,0,Hunt vs. Oliynyk,Ultimate Fighting Championship,Hunt,Oliynyk,0,Olimpiyskiy Stadium,"Moscow, Russia",,,
2018-09-22,UFC Fight Night,0,Manuwa vs. Santos,Ultimate Fighting Championship,Manuwa,Santos,0,Ginásio do Ibirapuera,"São Paulo, Brazil",,,
2018-10-06,UFC 229,1,Khabib vs. McGregor,Ultimate Fighting Championship,Khabib,McGregor,0,T-Mobile Arena,"Paradise, Nevada",,,
2018-10-27,UFC Fight Night,0,Volkan vs. Smith,Ultimate Fighting Championship,Volkan,Smith,0,Moncton Events Centre,"Moncton, New Brunswick, Canada",,,
2018-11-03,UFC 230,1,,Ultimate Fighting Championship,,,0,Madison Square Garden,"New York City, New York",,,
2018-11-10,UFC Fight Night,0,Edgar vs. Korean Zombie,Ultimate Fighting Championship,Edgar,Korean Zombie,0,Pepsi Center,"Denver, Colorado",,,
2018-11-17,UFC Fight Night,0,Magny vs. Ponzinibbio,Ultimate Fighting Championship,Magny,Ponzinibbio,0,Parque Polideportivo Roca,"Buenos Aires, Argentina",,,
2018-11-25,UFC Fight Night,0,Blaydes vs. Ngannou 2,Ultimate Fighting Championship,Blaydes,Ngannou,1,Cadillac Arena,"Beijing, China",,,
2018-11-30,The Ultimate Fighter,0,Heavy Hitters Finale,Ultimate Fighting Championship,,,0,Pearl Theatre at Palms Casino Resort,"Las Vegas, Nevada, United States",,,
2018-12-02,UFC Fight Night,0,dos Santos vs. Tuivasa,Ultimate Fighting Championship,dos Santos,Tuivasa,0,Adelaide Entertainment Centre,"Adelaide, Australia",,,
2018-12-08,UFC 231,1,,Ultimate Fighting Championship,,,0,Scotiabank Arena,"Toronto, Ontario, Canada",,,
2018-12-15,UFC on Fox 31,0,,Ultimate Fighting Championship,,,0,Fiserv Forum,"Milwaukee, Wisconsin",,,
2018-12-29,UFC 232,1,,Ultimate Fighting Championship,,,0,T-Mobile Arena,"Paradise, Nevada",,,
