Date,Event,Main_Event,Title,Promotion,Fighter_1,Fighter_2,Rematch,Venue,City,Attendance,Gate,Buyrate
2006-06-28,Ultimate Fight Night 5,0,,Ultimate Fighting Championship,,,0,Hard Rock Hotel and Casino,"Las Vegas, Nevada",954.0,134368.0,
2006-07-08,UFC 61,1,Bitter Rivals,Ultimate Fighting Championship,,,0,Mandalay Bay Events Center,"Las Vegas, Nevada",11167.0,3350775.0,775000.0
2006-08-17,UFC Fight Night,0,Sanchez vs. Parisyan,Ultimate Fighting Championship,Sanchez,Parisyan,0,Red Rock Resort Spa and Casino,"Las Vegas, Nevada",,,
2006-08-26,UFC 62,1,Liddell vs. Sobral,Ultimate Fighting Championship,Liddell,Sobral,0,Mandalay Bay Events Center,"Las Vegas, Nevada",9859.0,3040880.0,500000.0
2006-09-23,UFC 63,1,Hughes vs. Penn,Ultimate Fighting Championship,Hughes,Penn,0,Arrowhead Pond,"Anaheim, California",12604.0,1582370.0,400000.0
2006-10-10,UFC,0,Ortiz vs. Shamrock 3: The Final Chapter,Ultimate Fighting Championship,Ortiz,Shamrock,1,Seminole Hard Rock Hotel and Casino,"Hollywood, Florida",3510.0,,
2006-10-14,UFC 64,1,Unstoppable,Ultimate Fighting Championship,,,0,Mandalay Bay Events Center,"Las Vegas, Nevada",10173.0,1790490.0,300000.0
2006-11-11,The Ultimate Fighter,0,The Comeback Finale,Ultimate Fighting Championship,,,0,Hard Rock Hotel and Casino,"Las Vegas, Nevada",,,
2006-11-18,UFC 65,1,Bad Intentions,Ultimate Fighting Championship,,,0,ARCO Arena,"Sacramento, California",14666.0,2138020.0,500000.0
2006-12-13,UFC Fight Night,0,Sanchez vs. Riggs,Ultimate Fighting Championship,Sanchez,Riggs,0,MCAS Miramar,"San Diego, California",,,
2006-12-30,UFC 66,1,Liddell vs. Ortiz,Ultimate Fighting Championship,Liddell,Ortiz,0,MGM Grand Garden Arena,"Las Vegas, Nevada",13761.0,5397300.0,1050000.0
2007-01-25,UFC Fight Night,0,Evans vs. Salmon,Ultimate Fighting Championship,Evans,Salmon,0,Seminole Hard Rock Hotel and Casino,"Hollywood, Florida",,,
2007-02-03,UFC 67,1,All or Nothing,Ultimate Fighting Championship,,,0,Mandalay Bay Events Center,"Las Vegas, Nevada",10227.0,2767130.0,350000.0
2007-03-03,UFC 68,1,The Uprising,Ultimate Fighting Championship,,,0,Nationwide Arena,"Columbus, Ohio",19049.0,3014000.0,534000.0
2007-04-05,UFC Fight Night,0,Stevenson vs. Guillard,Ultimate Fighting Championship,Stevenson,Guillard,0,Palms Casino Resort,"Las Vegas, Nevada",1734.0,,
2007-04-07,UFC 69,1,Shootout,Ultimate Fighting Championship,,,0,Toyota Center,"Houston, Texas",15269.0,2817200.0,400000.0
2007-04-21,UFC 70,1,Nations Collide,Ultimate Fighting Championship,,,0,Manchester Evening News Arena,"Manchester, United Kingdom",15114.0,2628472.0,
2007-05-26,UFC 71,1,Liddell vs. Jackson,Ultimate Fighting Championship,Liddell,Jackson,0,MGM Grand Garden Arena,"Las Vegas, Nevada",14728.0,4304000.0,675000.0
2007-06-12,UFC Fight Night,0,Stout vs. Fisher,Ultimate Fighting Championship,Stout,Fisher,0,Seminole Hard Rock Hotel and Casino,"Hollywood, Florida",,,
2007-06-16,UFC 72,1,Victory,Ultimate Fighting Championship,,,0,The Odyssey,"Belfast, Northern Ireland, United Kingdom.",8000.0,,200000.0
2007-06-23,The Ultimate Fighter,0,Team Pulver vs. Team Penn Finale,Ultimate Fighting Championship,Team Pulver,Team Penn,0,Palms Casino Resort,"Las Vegas, Nevada",,526000.0,
2007-07-07,UFC 73,1,Stacked,Ultimate Fighting Championship,,,0,ARCO Arena,"Sacramento, California",13183.0,1551920.0,425000.0
2007-08-25,UFC 74,1,Respect,Ultimate Fighting Championship,,,0,Mandalay Bay Events Center,"Las Vegas, Nevada",11118.0,3307000.0,520000.0
2007-09-08,UFC 75,1,Champion vs. Champion,Ultimate Fighting Championship,Champion,Champion,0,The O2 Arena,"London, United Kingdom",16235.0,,
2007-09-19,UFC Fight Night,0,Thomas vs. Florian,Ultimate Fighting Championship,Thomas,Florian,0,Palms Casino Resort,"Las Vegas, Nevada",,270000.0,
2007-09-22,UFC 76,1,Knockout,Ultimate Fighting Championship,,,0,Honda Center,"Anaheim, California",13770.0,1985000.0,475000.0
2007-10-20,UFC 77,1,Hostile Territory,Ultimate Fighting Championship,,,0,U.S. Bank Arena,"Cincinnati, Ohio",16054.0,2540000.0,325000.0
2007-11-17,UFC 78,1,Validation,Ultimate Fighting Championship,,,0,Prudential Center,"Newark, New Jersey",14071.0,2100000.0,400000.0
2007-12-08,The Ultimate Fighter,0,Team Hughes vs. Team Serra Finale,Ultimate Fighting Championship,Team Hughes,Team Serra,0,Palms Casino Resort,"Las Vegas, Nevada",,,
2007-12-29,UFC 79,1,Nemesis,Ultimate Fighting Championship,,,0,Mandalay Bay Events Center,"Las Vegas, Nevada",11075.0,4994000.0,650000.0
2008-01-19,UFC 80,1,Rapid Fire,Ultimate Fighting Championship,,,0,Metro Radio Arena,"Newcastle, United Kingdom",8412.0,1250000.0,225000.0
2008-01-23,UFC Fight Night,0,Swick vs. Burkman,Ultimate Fighting Championship,Swick,Burkman,0,Palms Casino Resort,"Las Vegas, Nevada",,,
2008-02-02,UFC 81,1,Breaking Point,Ultimate Fighting Championship,,,0,Mandalay Bay Events Center,"Las Vegas, Nevada",10583.0,2437890.0,600000.0
2008-03-01,UFC 82,1,Pride of a Champion,Ultimate Fighting Championship,,,0,Nationwide Arena,"Columbus, Ohio",16431.0,2200000.0,325000.0
2008-04-02,UFC Fight Night,0,Florian vs. Lauzon,Ultimate Fighting Championship,Florian,Lauzon,0,Broomfield Event Center,"Broomfield, Colorado",6742.0,753429.0,
2008-04-19,UFC 83,1,Serra vs. St-Pierre 2,Ultimate Fighting Championship,Serra,St-Pierre,1,Bell Centre,"Montreal, Quebec, Canada",21390.0,5100000.0,530000.0
2008-05-24,UFC 84,1,Ill Will,Ultimate Fighting Championship,,,0,MGM Grand Garden Arena,"Las Vegas, Nevada",14773.0,3732000.0,475000.0
2008-06-07,UFC 85,1,Bedlam,Ultimate Fighting Championship,,,0,The O2 Arena,"London, United Kingdom",15327.0,,215000.0
2008-06-21,The Ultimate Fighter,0,Team Rampage vs. Team Forrest Finale,Ultimate Fighting Championship,Team Rampage,Team Forrest,0,Palms Casino Resort,"Las Vegas, Nevada",2500.0,495350.0,
2008-07-05,UFC 86,1,Jackson vs. Griffin,Ultimate Fighting Championship,Jackson,Griffin,0,Mandalay Bay Events Center,"Las Vegas, Nevada",10990.0,3350730.0,540000.0
2008-07-19,UFC Fight Night,0,Silva vs. Irvin,Ultimate Fighting Championship,Silva,Irvin,0,Palms Casino Resort,"Las Vegas, Nevada",2071.0,,100000.0
2008-08-09,UFC 87,1,Seek and Destroy,Ultimate Fighting Championship,,,0,Target Center,"Minneapolis, Minnesota",15087.0,2252000.0,625000.0
2008-09-06,UFC 88,1,Breakthrough,Ultimate Fighting Championship,,,0,Philips Arena,"Atlanta, Georgia",14736.0,2600000.0,480000.0
2008-09-17,UFC Fight Night,0,Diaz vs. Neer,Ultimate Fighting Championship,Diaz,Neer,0,Omaha Civic Auditorium,"Omaha, Nebraska",9103.0,700000.0,
2008-10-18,UFC 89,1,Bisping vs. Leben,Ultimate Fighting Championship,Bisping,Leben,0,National Indoor Arena,"Birmingham, United Kingdom",9515.0,,
2008-10-25,UFC 90,1,Silva vs. Côté,Ultimate Fighting Championship,Silva,Côté,0,Allstate Arena,"Rosemont, Illinois",15359.0,2850000.0,300000.0
2008-11-15,UFC 91,1,Couture vs. Lesnar,Ultimate Fighting Championship,Couture,Lesnar,0,MGM Grand Garden Arena,"Las Vegas, Nevada",14272.0,4815675.0,1010000.0
2008-12-10,UFC,0,Fight for the Troops,Ultimate Fighting Championship,,,0,Cumberland County Crown Coliseum,"Fayetteville, North Carolina",8200.0,,
2008-12-13,The Ultimate Fighter,0,Team Nogueira vs. Team Mir Finale,Ultimate Fighting Championship,Team Nogueira,Team Mir,0,Palms Casino Resort,"Las Vegas, Nevada",1853.0,405000.0,
2008-12-27,UFC 92,1,The Ultimate 2008,Ultimate Fighting Championship,,,1,MGM Grand Garden Arena,"Las Vegas, Nevada",14103.0,3468440.0,1000000.0
2009-01-17,UFC 93,1,Franklin vs. Henderson,Ultimate Fighting Championship,Franklin,Henderson,0,The O2,"Dublin, Ireland",9369.0,1300000.0,350000.0
2009-01-31,UFC 94,1,St-Pierre vs. Penn 2,Ultimate Fighting Championship,St-Pierre,Penn,1,MGM Grand Garden Arena[1],"Las Vegas, Nevada",14885.0,4290020.0,920000.0
2009-02-07,UFC Fight Night,0,Lauzon vs. Stephens,Ultimate Fighting Championship,Lauzon,Stephens,0,USF Sun Dome[1],"Tampa, Florida[1]",7596.0,428000.0,
2009-02-21,UFC 95,1,Sanchez vs. Stevenson,Ultimate Fighting Championship,Sanchez,Stevenson,0,The O2 Arena,"London, United Kingdom",13268.0,1000000.0,
2009-03-07,UFC 96,1,Jackson vs. Jardine,Ultimate Fighting Championship,Jackson,Jardine,0,Nationwide Arena,"Columbus, Ohio",17033.0,1800000.0,350000.0
2009-04-01,UFC Fight Night,0,Condit vs. Kampmann,Ultimate Fighting Championship,Condit,Kampmann,0,Sommet Center,"Nashville, Tennessee",10267.0,626077.0,
2009-04-18,UFC 97,1,Redemption,Ultimate Fighting Championship,,,0,Bell Centre,"Montreal, Quebec, Canada",21451.0,4900000.0,650000.0
2009-05-23,UFC 98,1,Evans vs. Machida,Ultimate Fighting Championship,Evans,Machida,0,MGM Grand Garden Arena,"Las Vegas, Nevada",12606.0,3257350.0,635000.0
2009-06-13,UFC 99,1,The Comeback,Ultimate Fighting Championship,,,0,Lanxess Arena,"Cologne, Germany",12854.0,1300000.0,360000.0
2009-06-20,The Ultimate Fighter,0,United States vs. United Kingdom Finale,Ultimate Fighting Championship,United States,United Kingdom,0,Pearl Concert Theater,"Las Vegas, Nevada",2217.0,498650.0,
2009-07-11,UFC 100,1,,Ultimate Fighting Championship,,,0,Mandalay Bay Events Center,"Las Vegas, Nevada",10871.0,5101740.0,1600000.0
2009-08-08,UFC 101,1,Declaration,Ultimate Fighting Championship,,,0,Wachovia Center,"Philadelphia, Pennsylvania",17411.0,3550000.0,850000.0
2009-08-29,UFC 102,1,Couture vs. Nogueira,Ultimate Fighting Championship,Couture,Nogueira,0,Rose Garden,"Portland, Oregon",16088.0,1920000.0,435000.0
2009-09-16,UFC Fight Night,0,Diaz vs. Guillard,Ultimate Fighting Championship,Diaz,Guillard,0,Cox Convention Center,"Oklahoma City, Oklahoma",9490.0,577997.0,
2009-09-19,UFC 103,1,Franklin vs. Belfort,Ultimate Fighting Championship,Franklin,Belfort,0,American Airlines Center,"Dallas, Texas",17428.0,2400000.0,375000.0
2009-10-24,UFC 104,1,Machida vs. Shogun,Ultimate Fighting Championship,Machida,Shogun,0,Staples Center,"Los Angeles, California",14892.0,1913093.0,500000.0
2009-11-14,UFC 105,1,Couture vs. Vera,Ultimate Fighting Championship,Couture,Vera,0,Evening News Arena,"Manchester, United Kingdom",16693.0,2000000.0,
2009-11-21,UFC 106,1,Ortiz vs. Griffin 2,Ultimate Fighting Championship,Ortiz,Griffin,1,Mandalay Bay Events Center,"Las Vegas, Nevada",10529.0,3003250.0,375000.0
