Date,Event,Promotion,Venue,City,Attendance,Gate,Buyrate
2017-07-08,UFC 213: Romero vs. Whittaker,Ultimate Fighting Championship,T-Mobile Arena,"Las Vegas, Nevada",12834.0,2400000.0,150000.0
2017-07-16,UFC Fight Night: Nelson vs. Ponzinibbio,Ultimate Fighting Championship,The SSE Hydro,"Glasgow, Scotland",10589.0,1200000.0,
2017-07-22,UFC on Fox: Weidman vs. Gastelum,Ultimate Fighting Championship,Nassau Veterans Memorial Coliseum,"Uniondale, New York",11198.0,1088332.0,
2017-07-29,UFC 214: Cormier vs. Jones 2,Ultimate Fighting Championship,Honda Center,"Anaheim, California",16610.0,2448870.0,860000.0
2017-08-05,UFC Fight Night: Pettis vs. Moreno,Ultimate Fighting Championship,Arena Ciudad de México,"Mexico City, Mexico",10172.0,,
2017-09-02,UFC Fight Night: Volkov vs. Struve,Ultimate Fighting Championship,Ahoy Rotterdam,"Rotterdam, Netherlands",10224.0,900000.0,
2017-09-09,UFC 215: Nunes vs. Shevchenko 2,Ultimate Fighting Championship,Rogers Place,"Edmonton, Alberta, Canada",16232.0,2028307.0,100000.0
2017-09-16,UFC Fight Night: Rockhold vs. Branch,Ultimate Fighting Championship,PPG Paints Arena,"Pittsburgh, Pennsylvania",7005.0,396190.0,
2017-09-23,UFC Fight Night: Saint Preux vs. Okami,Ultimate Fighting Championship,Saitama Super Arena,"Saitama, Japan",8571.0,,
2017-10-07,UFC 216: Ferguson vs. Lee,Ultimate Fighting Championship,T-Mobile Arena,"Las Vegas, Nevada",10638.0,677999.0,200000.0
2017-10-21,UFC Fight Night: Cowboy vs. Till,Ultimate Fighting Championship,Ergo Arena,"Gdańsk, Poland",11138.0,677000.0,
2017-10-28,UFC Fight Night: Brunson vs. Machida,Ultimate Fighting Championship,Ginásio do Ibirapuera,"São Paulo, Brazil",10265.0,,
2017-11-04,UFC 217: Bisping vs. St-Pierre,Ultimate Fighting Championship,Madison Square Garden,"New York City, New York",18201.0,6200000.0,875000.0
2017-11-11,UFC Fight Night: Poirier vs. Pettis,Ultimate Fighting Championship,Ted Constant Convocation Center,"Norfolk, Virginia",8442.0,642070.0,
2017-11-19,UFC Fight Night: Werdum vs. Tybura,Ultimate Fighting Championship,Qudos Bank Arena,Sydney,10021.0,,
2017-11-25,UFC Fight Night: Bisping vs. Gastelum,Ultimate Fighting Championship,Mercedes Benz Arena,"Shanghai, China",15128.0,,
2017-12-01,The Ultimate Fighter: A New World Champion Finale,Ultimate Fighting Championship,Park Theater,"Paradise, Nevada",,,
2017-12-02,UFC 218: Holloway vs. Aldo 2,Ultimate Fighting Championship,Little Caesars Arena,"Detroit, Michigan",17587.0,2000000.0,230000.0
2017-12-09,UFC Fight Night: Swanson vs. Ortega,Ultimate Fighting Championship,Save Mart Center,"Fresno, California",7605.0,568290.0,
2017-12-16,UFC on Fox: Lawler vs. dos Anjos,Ultimate Fighting Championship,Bell MTS Place,"Winnipeg, Canada",8862.0,781359.0,
2017-12-30,UFC 219: Cyborg vs. Holm,Ultimate Fighting Championship,T-Mobile Arena,"Las Vegas, Nevada",13561.0,1760628.0,380000.0
2018-01-14,UFC Fight Night: Stephens vs. Choi,Ultimate Fighting Championship,Scottrade Center,"St. Louis, Missouri, U.S.",10052.0,812995.0,
2018-01-20,UFC 220: Miocic vs. Ngannou,Ultimate Fighting Championship,TD Garden,"Boston, Massachusetts",16015.0,2450000.0,380000.0
2018-01-27,UFC on Fox: Jacaré vs. Brunson 2,Ultimate Fighting Championship,Spectrum Center,"Charlotte, North Carolina, U.S",10249.0,944202.0,
2018-02-03,UFC Fight Night: Machida vs. Anders,Ultimate Fighting Championship,Arena Guilherme Paraense,"Belém, Brazil",10144.0,,
2018-02-11,UFC 221: Romero vs. Rockhold,Ultimate Fighting Championship,Perth Arena,"Perth, Australia",12437.0,2810520.0,
2018-02-18,UFC Fight Night: Cowboy vs. Medeiros,Ultimate Fighting Championship,Frank Erwin Center,"Austin, Texas",10502.0,794350.0,
2018-02-24,UFC on Fox: Emmett vs. Stephens,Ultimate Fighting Championship,Amway Center,"Orlando, Florida",10124.0,1064303.0,
2018-03-03,UFC 222: Cyborg vs. Kunitskaya,Ultimate Fighting Championship,T-Mobile Arena,"Las Vegas, Nevada",12041.0,1367672.0,260000.0
2018-03-17,UFC Fight Night: Werdum vs. Volkov,Ultimate Fighting Championship,The O2 Arena,"London, England",16274.0,,
2018-04-07,UFC 223: Khabib vs. Iaquinta,Ultimate Fighting Championship,Barclays Center,"Brooklyn, New York",17026.0,3007108.0,350000.0
2018-04-14,UFC on Fox: Poirier vs. Gaethje,Ultimate Fighting Championship,Gila River Arena,"Glendale, Arizona",11382.0,1085712.0,
2018-04-21,UFC Fight Night: Barboza vs. Lee,Ultimate Fighting Championship,Boardwalk Hall,"Atlantic City, New Jersey",9541.0,923720.0,
2018-05-12,UFC 224: Nunes vs. Pennington,Ultimate Fighting Championship,Jeunesse Arena,"Rio de Janeiro, Brazil",10696.0,,85000.0
2018-05-19,UFC Fight Night: Maia vs. Usman,Ultimate Fighting Championship,Movistar Arena,"Santiago, Chile",11082.0,,
2018-05-27,UFC Fight Night: Thompson vs. Till,Ultimate Fighting Championship,Echo Arena,"Liverpool, England",8520.0,1300000.0,
2018-06-01,UFC Fight Night: Rivera vs. Moraes,Ultimate Fighting Championship,Adirondack Bank Center,"Utica, New York",5063.0,322825.0,
2018-06-09,UFC 225: Whittaker vs. Romero 2,Ultimate Fighting Championship,United Center,"Chicago, Illinois",18117.0,2550000.0,250000.0
2018-06-23,UFC Fight Night: Cowboy vs. Edwards,Ultimate Fighting Championship,Singapore Indoor Stadium,"Kallang, Singapore",6419.0,,
2018-07-06,The Ultimate Fighter: Undefeated Finale,Ultimate Fighting Championship,Pearl Theatre,"Paradise, Nevada",2123.0,293615.0,
2018-07-07,UFC 226: Miocic vs. Cormier,Ultimate Fighting Championship,T-Mobile Arena,"Paradise, Nevada",17464.0,5677238.0,380000.0
2018-07-14,UFC Fight Night: dos Santos vs. Ivanov,Ultimate Fighting Championship,CenturyLink Arena,"Boise, Idaho",5648.0,591575.0,
2018-07-22,UFC Fight Night: Shogun vs. Smith,Ultimate Fighting Championship,Barclaycard Arena,"Hamburg, Germany",7798.0,750000.0,
2018-07-28,UFC on Fox: Alvarez vs. Poirier 2,Ultimate Fighting Championship,Scotiabank Saddledome,"Calgary, Alberta, Canada",10603.0,,
2018-08-04,UFC 227: Dillashaw vs. Garbrandt 2,Ultimate Fighting Championship,Staples Center,"Los Angeles, California",17794.0,2850000.0,300000.0
2018-08-25,UFC Fight Night: Gaethje vs. Vick,Ultimate Fighting Championship,Pinnacle Bank Arena,"Lincoln, Nebraska",6409.0,478337.0,
2018-09-08,UFC 228: Woodley vs. Till,Ultimate Fighting Championship,American Airlines Center,"Dallas, Texas",14073.0,1700000.0,
2018-09-15,UFC Fight Night: Hunt vs. Oliynyk,Ultimate Fighting Championship,Olimpiyskiy Stadium,"Moscow, Russia",,,
2018-09-22,UFC Fight Night: Manuwa vs. Santos,Ultimate Fighting Championship,Ginásio do Ibirapuera,"São Paulo, Brazil",,,
2018-10-06,UFC 229: Khabib vs. McGregor,Ultimate Fighting Championship,T-Mobile Arena,"Paradise, Nevada",,,
2018-10-27,UFC Fight Night: Volkan vs. Smith,Ultimate Fighting Championship,Moncton Events Centre,"Moncton, New Brunswick, Canada",,,
2018-11-03,UFC 230,Ultimate Fighting Championship,Madison Square Garden,"New York City, New York",,,
2018-11-10,UFC Fight Night: Edgar vs. Korean Zombie,Ultimate Fighting Championship,Pepsi Center,"Denver, Colorado",,,
2018-11-17,UFC Fight Night: Magny vs. Ponzinibbio,Ultimate Fighting Championship,Parque Polideportivo Roca,"Buenos Aires, Argentina",,,
2018-11-25,UFC Fight Night: Blaydes vs. Ngannou 2,Ultimate Fighting Championship,Cadillac Arena,"Beijing, China",,,
2018-11-30,The Ultimate Fighter: Heavy Hitters Finale,Ultimate Fighting Championship,Pearl Theatre at Palms Casino Resort,"Las Vegas, Nevada, United States",,,
2018-12-02,UFC Fight Night: dos Santos vs. Tuivasa,Ultimate Fighting Championship,Adelaide Entertainment Centre,"Adelaide, Australia",,,
2018-12-08,UFC 231,Ultimate Fighting Championship,Scotiabank Arena,"Toronto, Ontario, Canada",,,
2018-12-15,UFC on Fox 31,Ultimate Fighting Championship,Fiserv Forum,"Milwaukee, Wisconsin",,,
2018-12-29,UFC 232,Ultimate Fighting Championship,T-Mobile Arena,"Paradise, Nevada",,,
