Date,Event,Promotion,Venue,City,Attendance,Gate,Buyrate
2003-04-25,UFC 42: Sudden Impact,Ultimate Fighting Championship,American Airlines Arena,"Miami, Florida",6700.0,,35000.0
2003-06-06,UFC 43: Meltdown,Ultimate Fighting Championship,Thomas and Mack Center,"Las Vegas, Nevada",9800.0,645140.0,49000.0
2003-09-26,UFC 44: Undisputed,Ultimate Fighting Championship,Mandalay Bay Events Center,"Las Vegas, Nevada",10400.0,127985.0,94000.0
2003-11-21,UFC 45: Revolution,Ultimate Fighting Championship,Mohegan Sun Arena,"Uncasville, Connecticut",9200.0,,40000.0
2004-01-31,UFC 46: Supernatural,Ultimate Fighting Championship,Mandalay Bay Events Center,"Las Vegas, Nevada",10700.0,1377000.0,80000.0
2004-04-02,UFC 47: It’s On!,Ultimate Fighting Championship,Mandalay Bay Events Center,"Las Vegas, Nevada",11437.0,1444020.0,105000.0
2004-06-19,UFC 48: Payback,Ultimate Fighting Championship,Mandalay Bay Events Center,"Las Vegas, Nevada",10000.0,901655.0,110000.0
2004-08-21,UFC 49: Unfinished Business,Ultimate Fighting Championship,MGM Grand Arena,"Las Vegas, Nevada",12100.0,1293035.0,80000.0
2004-10-22,UFC 50: The War of '04,Ultimate Fighting Championship,Trump Plaza,"Atlantic City, New Jersey",9000.0,,40000.0
2005-02-05,UFC 51: Super Saturday,Ultimate Fighting Championship,Mandalay Bay Events Center,"Las Vegas, Nevada",11072.0,1493000.0,105000.0
2005-04-09,The Ultimate Fighter: Team Couture vs. Team Liddell Finale,Ultimate Fighting Championship,Cox Pavilion,"Las Vegas, Nevada",,,
2005-04-16,UFC 52: Couture vs. Liddell,Ultimate Fighting Championship,MGM Grand Arena,"Las Vegas, Nevada",14562.0,2575450.0,280000.0
2005-06-04,UFC 53: Heavy Hitters,Ultimate Fighting Championship,Boardwalk Hall,"Atlantic City, New Jersey",12000.0,1100000.0,90000.0
2005-08-06,UFC Ultimate Fight Night,Ultimate Fighting Championship,Cox Pavilion,"Las Vegas, Nevada",,,
2005-08-20,UFC 54: Boiling Point,Ultimate Fighting Championship,MGM Grand Arena,"Las Vegas, Nevada",13520.0,2336000.0,150000.0
2005-10-03,Ultimate Fight Night 2,Ultimate Fighting Championship,Hard Rock Hotel and Casino,"Las Vegas, Nevada",,,
2005-10-07,UFC 55: Fury,Ultimate Fighting Championship,Mohegan Sun Arena,"Uncasville, Connecticut",8000.0,,125000.0
2005-11-05,The Ultimate Fighter: Team Hughes vs. Team Franklin Finale,Ultimate Fighting Championship,Hard Rock Hotel and Casino,"Las Vegas, Nevada",,,
2005-11-19,UFC 56: Full Force,Ultimate Fighting Championship,MGM Grand Arena,"Las Vegas, Nevada",12000.0,1986000.0,200000.0
2006-01-16,Ultimate Fight Night 3,Ultimate Fighting Championship,Hard Rock Hotel and Casino,"Las Vegas, Nevada",1008.0,144600.0,
2006-02-04,UFC 57: Liddell vs. Couture 3,Ultimate Fighting Championship,Mandalay Bay Events Center,"Las Vegas, Nevada",11000.0,3382400.0,400000.0
2006-03-04,UFC 58: USA vs. Canada,Ultimate Fighting Championship,Mandalay Bay Events Center,"Las Vegas, Nevada",9569.0,1758450.0,300000.0
2006-04-06,Ultimate Fight Night 4,Ultimate Fighting Championship,Hard Rock Hotel and Casino,"Las Vegas, Nevada",843.0,199150.0,
2006-04-15,UFC 59: Reality Check,Ultimate Fighting Championship,Arrowhead Pond,"Anaheim, California",13814.0,2191450.0,425000.0
2006-05-27,UFC 60: Hughes vs. Gracie,Ultimate Fighting Championship,Staples Center,"Los Angeles, California",14802.0,2900090.0,620000.0
2006-06-24,The Ultimate Fighter: Team Ortiz vs. Team Shamrock Finale,Ultimate Fighting Championship,Hard Rock Hotel and Casino,"Las Vegas, Nevada",,,
2006-06-28,Ultimate Fight Night 5,Ultimate Fighting Championship,Hard Rock Hotel and Casino,"Las Vegas, Nevada",954.0,134368.0,
2006-07-08,UFC 61: Bitter Rivals,Ultimate Fighting Championship,Mandalay Bay Events Center,"Las Vegas, Nevada",11167.0,3350775.0,775000.0
2006-08-17,UFC Fight Night: Sanchez vs. Parisyan,Ultimate Fighting Championship,Red Rock Resort Spa and Casino,"Las Vegas, Nevada",,,
2006-08-26,UFC 62: Liddell vs. Sobral,Ultimate Fighting Championship,Mandalay Bay Events Center,"Las Vegas, Nevada",9859.0,3040880.0,500000.0
2006-09-23,UFC 63: Hughes vs. Penn,Ultimate Fighting Championship,Arrowhead Pond,"Anaheim, California",12604.0,1582370.0,400000.0
2006-10-10,UFC: Ortiz vs. Shamrock 3: The Final Chapter,Ultimate Fighting Championship,Seminole Hard Rock Hotel and Casino,"Hollywood, Florida",3510.0,,
2006-10-14,UFC 64: Unstoppable,Ultimate Fighting Championship,Mandalay Bay Events Center,"Las Vegas, Nevada",10173.0,1790490.0,300000.0
2006-11-11,The Ultimate Fighter: The Comeback Finale,Ultimate Fighting Championship,Hard Rock Hotel and Casino,"Las Vegas, Nevada",,,
2006-11-18,UFC 65: Bad Intentions,Ultimate Fighting Championship,ARCO Arena,"Sacramento, California",14666.0,2138020.0,500000.0
2006-12-13,UFC Fight Night: Sanchez vs. Riggs,Ultimate Fighting Championship,MCAS Miramar,"San Diego, California",,,
2006-12-30,UFC 66: Liddell vs. Ortiz,Ultimate Fighting Championship,MGM Grand Garden Arena,"Las Vegas, Nevada",13761.0,5397300.0,1050000.0
2007-01-25,UFC Fight Night: Evans vs. Salmon,Ultimate Fighting Championship,Seminole Hard Rock Hotel and Casino,"Hollywood, Florida",,,
